seccion_censal;provincia;censo;total_votantes;participacion;abstencion;votos_validos;ganador_siglas;ganador_pct;PP__votos;PP__pct;PSOE-A__votos;PSOE-A__pct;VOX__votos;VOX__pct;PorA__votos;PorA__pct;ADELANTE ANDALUCÍA__votos;ADELANTE ANDALUCÍA__pct;MUNDO+JUSTO__votos;MUNDO+JUSTO__pct;PACMA__votos;PACMA__pct;NA__votos;NA__pct;PCPA__votos;PCPA__pct;ESCAÑOS EN BLANCO__votos;ESCAÑOS EN BLANCO__pct;FE de las JONS__votos;FE de las JONS__pct;PARTIDO AUTÓNOMOS__votos;PARTIDO AUTÓNOMOS__pct;PCTE__votos;PCTE__pct;ANDALUCISTAS-PA__votos;ANDALUCISTAS-PA__pct;SALF__votos;SALF__pct;IZAR__votos;IZAR__pct;PODER ANDALUZ__votos;PODER ANDALUZ__pct;IPAL__votos;IPAL__pct;29__votos;29__pct;CONECTA__votos;CONECTA__pct;SOCIEDAD UNIDA__votos;SOCIEDAD UNIDA__pct;100x100__votos;100x100__pct;ANDALUSÍ__votos;ANDALUSÍ__pct;JUFUDI__votos;JUFUDI__pct;JM+__votos;JM+__pct;HE>__votos;HE>__pct;ALM__votos;ALM__pct
0400101001;Almería;977;650;66.5;327;646;PP;36.1;233;36.1;223;34.5;90;13.9;11;1.7;0;0.0;23;3.6;0;0.0;0;0.0;2;0.3;6;0.9;22;3.4;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;26;4.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;8;1.2
0400201001;Almería;971;625;64.4;346;622;Empate;33.1;206;33.1;206;33.1;96;15.4;0;0.0;0;0.0;18;2.9;0;0.0;0;0.0;30;4.8;49;7.9;8;1.3;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;6;1.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0
0400301001;Almería;609;397;65.2;212;394;PP;55.6;219;55.6;26;6.6;35;8.9;27;6.8;0;0.0;23;5.8;0;0.0;11;2.8;16;4.1;18;4.6;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;15;3.8;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0
0400301002;Almería;1309;807;61.7;502;800;PP;37.0;296;37.0;133;16.6;198;24.8;42;5.2;0;0.0;36;4.5;0;0.0;0;0.0;51;6.4;0;0.0;11;1.4;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;29;3.6;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0
0400301003;Almería;1672;950;56.8;722;940;PP;37.3;351;37.3;168;17.9;280;29.8;0;0.0;0;0.0;14;1.5;26;2.8;11;1.2;20;2.1;0;0.0;29;3.1;0;0.0;0;0.0;8;0.8;0;0.0;0;0.0;0;0.0;28;3.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0
0400301004;Almería;1782;295;16.6;360;293;PP;42.3;124;42.3;35;12.0;57;19.4;34;11.6;0;0.0;0;0.0;5;1.7;15;5.1;0;0.0;13;4.4;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;8;2.7;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0
0400301005;Almería;1471;0;0.0;0;0;;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0
0400301006;Almería;1118;0;0.0;0;0;;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0
0400301007;Almería;717;0;0.0;0;0;;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0
0400302001;Almería;882;0;0.0;0;0;;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0
0400302002;Almería;1054;0;0.0;0;0;;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0
0400302003;Almería;670;0;0.0;0;0;;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0
0400303001;Almería;802;0;0.0;0;0;;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0
0400303002;Almería;880;0;0.0;0;0;;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0
0400303003;Almería;1724;0;0.0;0;0;;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0
0400304001;Almería;650;0;0.0;0;0;;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0
0400305001;Almería;1027;0;0.0;0;0;;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0
0400305002;Almería;1401;0;0.0;0;0;;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0
0400401001;Almería;380;0;0.0;0;0;;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0
0400501001;Almería;475;0;0.0;0;0;;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0
0400601001;Almería;1009;0;0.0;0;0;;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0
0400601002;Almería;1304;0;0.0;0;0;;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0
0400602001;Almería;928;0;0.0;0;0;;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0
0400602002;Almería;894;421;47.1;473;421;PP;37.3;157;37.3;136;32.3;60;14.2;4;1.0;0;0.0;4;1.0;0;0.0;8;1.9;7;1.7;34;8.1;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;9;2.1;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0
0400602003;Almería;1457;763;52.4;694;757;PP;52.3;396;52.3;123;16.2;86;11.4;27;3.6;0;0.0;0;0.0;2;0.3;25;3.3;8;1.1;0;0.0;18;2.4;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;67;8.8;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0
0400603001;Almería;616;347;56.3;269;342;PP;44.4;152;44.4;49;14.3;71;20.8;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;12;3.5;6;1.8;17;5.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;25;7.3;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0
0400604001;Almería;1171;621;53.0;550;613;PP;49.6;304;49.6;123;20.1;76;12.4;16;2.6;0;0.0;7;1.1;20;3.3;1;0.2;10;1.6;14;2.3;13;2.1;0;0.0;0;0.0;9;1.5;0;0.0;0;0.0;0;0.0;18;2.9;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0
0400701001;Almería;701;413;58.9;288;411;PP;35.5;146;35.5;75;18.2;106;25.8;3;0.7;0;0.0;0;0.0;6;1.5;40;9.7;5;1.2;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;30;7.3;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0
0400801001;Almería;451;314;69.6;137;311;PP;48.9;152;48.9;72;23.2;26;8.4;8;2.6;6;1.9;14;4.5;6;1.9;11;3.5;0;0.0;2;0.6;1;0.3;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;10;3.2;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0
0400901001;Almería;89;63;70.8;26;63;PP;50.8;32;50.8;5;7.9;7;11.1;9;14.3;0;0.0;0;0.0;1;1.6;0;0.0;0;0.0;3;4.8;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;6;9.5;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0
0401001001;Almería;618;416;67.3;202;414;PP;36.0;149;36.0;132;31.9;53;12.8;0;0.0;0;0.0;0;0.0;0;0.0;46;11.1;22;5.3;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;5;1.2;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0
0401101001;Almería;1954;1199;61.4;755;1179;PP;33.6;396;33.6;300;25.4;212;18.0;5;0.4;0;0.0;85;7.2;39;3.3;14;1.2;31;2.6;0;0.0;57;4.8;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;1;0.1;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;31;2.6
0401101002;Almería;935;583;62.4;352;576;PSOE-A;41.7;161;28.0;240;41.7;83;14.4;0;0.0;0;0.0;40;6.9;9;1.6;3;0.5;2;0.4;13;2.3;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;5;0.9;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;17;3.0
0401201001;Almería;174;134;77.0;40;134;PP;47.0;63;47.0;32;23.9;11;8.2;0;0.0;0;0.0;9;6.7;8;6.0;0;0.0;5;3.7;5;3.7;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0
0401301001;Almería;1405;694;49.4;711;694;PP;46.0;319;46.0;103;14.8;60;8.6;70;10.1;28;4.0;0;0.0;5;0.7;0;0.0;14;2.0;0;0.0;10;1.4;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;60;8.6;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;21;3.0
0401301003;Almería;982;532;54.2;450;531;PP;38.6;205;38.6;125;23.5;55;10.4;44;8.3;0;0.0;0;0.0;11;2.1;12;2.3;6;1.1;29;5.5;7;1.3;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;31;5.8;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0
0401302001;Almería;1042;599;57.5;443;594;PP;40.6;241;40.6;126;21.2;97;16.3;0;0.0;0;0.0;0;0.0;0;0.0;33;5.6;15;2.5;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;41;6.9;0;0.0;0;0.0;37;6.2;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0
0401302002;Almería;1137;621;54.6;516;619;PP;38.9;241;38.9;123;19.9;95;15.4;38;6.1;23;3.7;23;3.7;30;4.8;30;4.8;10;1.6;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;2;0.3;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0
0401302004;Almería;1017;755;74.2;262;753;PP;54.3;409;54.3;85;11.3;131;17.4;1;0.1;48;6.4;31;4.1;13;1.7;0;0.0;5;0.7;7;0.9;8;1.1;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;14;1.9;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0
0401302005;Almería;887;629;70.9;258;628;PP;57.0;358;57.0;34;5.4;90;14.3;8;1.3;0;0.0;18;2.9;16;2.6;0;0.0;21;3.3;40;6.4;9;1.4;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;15;2.4;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;16;2.6
0401302006;Almería;983;717;72.9;266;717;PP;58.0;416;58.0;33;4.6;111;15.5;61;8.5;0;0.0;12;1.7;4;0.6;3;0.4;0;0.0;25;3.5;3;0.4;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;25;3.5;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;21;2.9
0401303001;Almería;1197;777;64.9;420;775;PP;47.2;366;47.2;51;6.6;109;14.1;76;9.8;0;0.0;24;3.1;37;4.8;0;0.0;52;6.7;18;2.3;11;1.4;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;23;3.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0
0401303002;Almería;774;233;30.1;541;233;PSOE-A;44.2;48;20.6;103;44.2;20;8.6;15;6.4;0;0.0;0;0.0;4;1.7;0;0.0;0;0.0;0;0.0;24;10.3;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;17;7.3;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0
0401303003;Almería;935;497;53.2;438;495;PP;45.7;226;45.7;72;14.6;68;13.7;28;5.7;0;0.0;0;0.0;15;3.0;11;2.2;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;48;9.7;0;0.0;0;0.0;23;4.6;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0
0401303006;Almería;508;141;27.8;367;139;PSOE-A;40.3;15;10.8;56;40.3;18;13.0;0;0.0;0;0.0;11;7.9;0;0.0;7;5.0;1;0.7;13;9.4;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;18;13.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0
0401303007;Almería;722;226;31.3;496;226;PP;28.8;65;28.8;61;27.0;39;17.3;3;1.3;0;0.0;0;0.0;0;0.0;0;0.0;4;1.8;16;7.1;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;38;16.8;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0
0401303008;Almería;653;230;35.2;423;229;PSOE-A;38.4;71;31.0;88;38.4;28;12.2;16;7.0;0;0.0;4;1.8;3;1.3;0;0.0;0;0.0;16;7.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;3;1.3;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0
0401303009;Almería;853;462;54.2;391;460;PP;39.8;183;39.8;58;12.6;111;24.1;0;0.0;0;0.0;0;0.0;11;2.4;0;0.0;0;0.0;0;0.0;13;2.8;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;81;17.6;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0
0401303010;Almería;992;527;53.1;465;525;PP;43.4;228;43.4;120;22.9;38;7.2;67;12.8;0;0.0;0;0.0;6;1.1;0;0.0;0;0.0;0;0.0;43;8.2;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;19;3.6;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0
