seccion_censal;provincia;participacion;ganador_siglas;ganador_pct;PP__pct;PSOE-A__pct;VOX__pct;PorA__pct;ADELANTE ANDALUCÍA__pct;extra1_siglas;extra1_pct;extra2_siglas;extra2_pct;extra3_siglas;extra3_pct;extra4_siglas;extra4_pct;extra5_siglas;extra5_pct
400101001;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
400201001;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
400301001;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
400301002;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
400301003;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
400301004;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
400301005;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
400301006;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
400301007;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
400302001;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
400302002;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
400302003;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
400303001;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
400303002;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
400303003;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
400304001;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
400305001;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
400305002;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
400401001;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
400501001;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
400601001;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
400601002;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
400602001;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
400602002;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
400602003;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
400603001;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
400604001;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
400701001;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
400801001;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
400901001;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
401001001;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
401101001;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
401101002;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
401201001;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
401301001;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
401301003;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
401302001;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
401302002;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
401302004;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
401302005;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
401302006;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
401303001;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
401303002;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
401303003;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
401303006;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
401303007;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
401303008;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
401303009;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
401303010;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
401303011;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
401304001;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
401304002;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
401304003;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
401304004;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
401304005;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
401304006;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
401304007;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
401305002;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
401305003;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
401305004;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
401305005;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
401305006;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
401305007;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
401305008;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
401305009;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
401305010;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
401305011;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
401306001;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
401306002;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
401306003;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
401306004;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
401306005;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
401306006;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
401306007;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
401306008;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
401306009;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
401306010;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
401306011;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
401306012;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
401306013;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
401306014;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
401306015;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
401306016;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
401306017;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
401306018;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
401306019;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
401306020;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
401306021;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
401306022;Almería;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
