ccaa,tipo_eleccion,fecha,orden,participacion,pct_izq_validos,pct_der_validos,pct_otros_validos,pct_izq2_validos,pct_der2_validos,pct_otros2_validos,pct_ind2_validos
Andalucía,Autonómicas,Autonómicas 2015,1,62.3,56.93,37.8,,56.93,37.8,,
Andalucía,Generales,diciembre 2015,2,69.08,54.18,42.86,,,,,
Andalucía,Autonómicas,Autonómicas 2018,3,56.56,44.13,49.99,,44.13,49.99,,
Andalucía,Generales,noviembre 2019,4,65.91,47.78,49,,,,,
Andalucía,Autonómicas,Autonómicas 2022,5,56.56,36.38,59.88,,28.68,59.88,,7.7
Andalucía,Generales,julio 2023,6,66.61,45.47,51.73,,,,,
Andalucía,Autonómicas,Autonómicas 2026,7,64.84,38.67,57.96,,32.35,57.96,,6.32
Aragón,Autonómicas,Autonómicas 2015,1,66.33,50.13,43.22,,45.61,43.22,,4.52
Aragón,Generales,diciembre 2015,2,72.58,47.81,48.53,0,,,,
Aragón,Autonómicas,Autonómicas 2019,3,66.16,49.07,49.23,,42.74,49.23,,6.33
Aragón,Generales,noviembre 2019,4,69.34,41.55,49.38,2.82,,,,
Aragón,Autonómicas,Autonómicas 2023,5,66.54,41.8,48.85,4.96,36.7,48.85,4.96,5.1
Aragón,Generales,julio 2023,6,70.71,43.42,50.89,0,,,,
Aragón,Autonómicas,Autonómicas 2026,7,65.09,38.78,57.05,3.6,28.85,57.05,3.6,9.93
Asturias,Autonómicas,Autonómicas 2015,1,55.8,57.85,37.23,,57.85,37.23,,
Asturias,Generales,diciembre 2015,2,63.77,53.08,43.67,,,,,
Asturias,Autonómicas,Autonómicas 2019,3,55.12,52.41,44.02,,52.41,44.02,,
Asturias,Generales,noviembre 2019,4,58.12,51.5,45.75,,,,,
Asturias,Autonómicas,Autonómicas 2023,5,56.85,46.84,45.28,,46.84,45.28,,
Asturias,Generales,julio 2023,6,62.9,49.19,48.14,,,,,
Baleares,Autonómicas,Autonómicas 2015,1,58.72,50.43,35.38,8.15,48.87,35.38,8.15,1.56
Baleares,Generales,diciembre 2015,2,63.35,43.75,43.84,,,,,
Baleares,Autonómicas,Autonómicas 2019,3,53.92,47.8,39.95,7.25,37.33,39.95,7.25,10.47
Baleares,Generales,noviembre 2019,4,56.81,43.55,47.27,,,,,
Baleares,Autonómicas,Autonómicas 2023,5,55.11,40.8,50.08,3.79,31.08,50.08,3.79,9.72
Baleares,Generales,julio 2023,6,61.32,46.75,50.84,,,,,
Canarias,Autonómicas,Autonómicas 2015,1,60.99,44.63,24.52,18.75,34.39,24.52,0.56,28.43
Canarias,Generales,diciembre 2015,2,60.33,48.38,39.96,8.24,,,,
Canarias,Autonómicas,Autonómicas 2019,3,57.43,46.63,25.02,22.52,37.6,25.02,21.82,9.73
Canarias,Generales,noviembre 2019,4,55.44,45.15,38.61,13.12,,,,
Canarias,Autonómicas,Autonómicas 2023,5,52,40.85,26.3,21.92,33.06,26.3,0.85,28.86
Canarias,Generales,julio 2023,6,58.18,43.89,38,11.37,,,,
Cantabria,Autonómicas,Autonómicas 2015,1,66.23,22.93,39.52,29.89,22.93,39.52,29.89,
Cantabria,Generales,diciembre 2015,2,70.97,44.71,52.16,0,,,,
Cantabria,Autonómicas,Autonómicas 2019,3,65.71,17.61,37.04,37.64,17.61,37.04,37.64,
Cantabria,Generales,noviembre 2019,4,65.74,31.92,45.56,21.04,,,,
Cantabria,Autonómicas,Autonómicas 2023,5,65.32,20.61,46.89,20.79,20.61,46.89,20.79,
Cantabria,Generales,julio 2023,6,69.94,41.78,56.14,0,,,,
Castilla y León,Autonómicas,Autonómicas 2015,1,64.87,43.29,47.68,,41.89,47.68,,1.4
Castilla y León,Generales,diciembre 2015,2,71.22,42.1,54.47,,,,,
Castilla y León,Autonómicas,Autonómicas 2019,3,65.8,42.32,52.49,0.69,40.26,52.49,0.69,02.06
Castilla y León,Generales,noviembre 2019,4,66.61,40.61,55.8,,,,,
Castilla y León,Autonómicas,Autonómicas 2022,5,58.75,39.07,53.05,2.65,34.81,53.05,2.65,4.26
Castilla y León,Generales,julio 2023,6,69.41,39.38,55.32,,,,,
Castilla y León,Autonómicas,Autonómicas 2026,7,60.63,35.12,54.28,1.65,30.81,54.28,1.65,4.31
Castilla-La Mancha,Autonómicas,Autonómicas 2015,1,71.5,48.96,46.13,,48.96,46.13,,
Castilla-La Mancha,Generales,diciembre 2015,2,75.26,45.6,51.91,,,,,
Castilla-La Mancha,Autonómicas,Autonómicas 2019,3,67.98,50.98,46.9,,50.98,46.9,,
Castilla-La Mancha,Generales,noviembre 2019,4,70.06,42.32,55.61,,,,,
Castilla-La Mancha,Autonómicas,Autonómicas 2023,5,69.6,49.16,47.5,,49.16,47.5,,
Castilla-La Mancha,Generales,julio 2023,6,72.99,41.52,56.68,,,,,
Cataluña,Generales,diciembre 2015,1,68.63,56.39,39.24,,,,,
Cataluña,Autonómicas,Autonómicas 2017,2,79.09,47.16,51.25,,21.32,51.25,,25.84
Cataluña,Generales,noviembre 2019,3,69.4,63.61,33.01,,,,,
Cataluña,Autonómicas,Autonómicas 2021,4,51.29,57.88,37.17,,29.9,17.1,,48.05
Cataluña,Generales,julio 2023,5,62.68,61.67,32.29,,,,,
Cataluña,Autonómicas,Autonómicas 2024,6,55.31,52.15,44.8,,34.19,19.18,,43.58
Ceuta,Generales,diciembre 2015,1,54.36,38.47,58.16,,,,,
Ceuta,Generales,noviembre 2019,2,53.98,35.2,60.87,,,,,
Ceuta,Generales,julio 2023,3,53.19,36.47,62.03,,,,,
Comunidad Valenciana,Autonómicas,Autonómicas 2015,1,69.55,54.72,39.1,,36.26,39.1,,18.46
Comunidad Valenciana,Generales,diciembre 2015,2,74.79,49.13,47.1,,,,,
Comunidad Valenciana,Autonómicas,Autonómicas 2019,3,73.72,49.05,47.46,,32.35,47.46,,16.7
Comunidad Valenciana,Generales,noviembre 2019,4,69.8,47.94,49.23,,,,,
Comunidad Valenciana,Autonómicas,Autonómicas 2023,5,66.96,46.68,49.83,,32.17,49.83,,14.51
Comunidad Valenciana,Generales,julio 2023,6,71.5,47.36,50.52,,,,,
Extremadura,Autonómicas,Autonómicas 2015,1,71.4,48.59,42.36,,48.59,42.36,,
Extremadura,Generales,diciembre 2015,2,72.17,51.66,46.17,,,,,
Extremadura,Autonómicas,Autonómicas 2019,3,69.26,53.26,42.72,,53.26,42.72,,
Extremadura,Generales,noviembre 2019,4,67.22,47.44,50.41,,,,,
Extremadura,Autonómicas,Autonómicas 2023,5,70.35,45.8,46.84,,45.8,46.84,,
Extremadura,Generales,julio 2023,6,71.67,45.96,51.53,,,,,
Extremadura,Autonómicas,Autonómicas 2026,7,60.8,35.97,60.02,,35.97,60.02,,
Galicia,Generales,diciembre 2015,1,61.53,46.33,46.19,,,,,
Galicia,Autonómicas,Autonómicas 2016,2,53.63,45.27,50.94,,36.94,50.94,,8.33
Galicia,Generales,noviembre 2019,3,55.86,53.53,44.1,,,,,
Galicia,Autonómicas,Autonómicas 2020,4,48.97,47.33,51.08,,23.44,51.08,,23.89
Galicia,Generales,julio 2023,5,61.41,50.1,48.45,,,,,
Galicia,Autonómicas,Autonómicas 2024,6,56.27,47.57,49.6,01.03,16.23,49.6,01.03,31.34
La Rioja,Autonómicas,Autonómicas 2015,1,71.21,37.97,49.05,,37.97,49.05,,
La Rioja,Generales,diciembre 2015,2,72.43,43.72,53.47,,,,,
La Rioja,Autonómicas,Autonómicas 2019,3,65.94,45.32,44.59,,45.32,44.59,,
La Rioja,Generales,noviembre 2019,4,66.96,44.72,52.77,,,,,
La Rioja,Autonómicas,Autonómicas 2023,5,67.79,36.99,52.99,,36.99,52.99,,
La Rioja,Generales,julio 2023,6,70.19,42.25,55.4,,,,,
Madrid,Autonómicas,Autonómicas 2015,1,65.69,48.23,48.45,,48.23,48.45,,
Madrid,Generales,diciembre 2015,2,74.12,43.99,52.26,,,,,
Madrid,Autonómicas,Autonómicas 2019,3,64.3,47.6,50.57,,47.6,50.57,,
Madrid,Generales,noviembre 2019,4,70.59,45.53,52.31,,,,,
Madrid,Autonómicas,Autonómicas 2021,5,74.74,41.01,57.48,,41.01,57.48,,
Madrid,Autonómicas,Autonómicas 2023,6,65.5,41.27,55.56,,41.27,55.56,,
Madrid,Generales,julio 2023,7,69.66,43.3,54.57,,,,,
Melilla,Generales,diciembre 2015,1,49.35,37.34,59.46,,,,,
Melilla,Generales,noviembre 2019,2,52.39,19.06,50.9,,,,,
Melilla,Generales,julio 2023,3,45.24,28.41,65.1,,,,,
Navarra,Autonómicas,Autonómicas 2015,1,68.26,60.81,31.37,,30.73,31.37,,30.08
Navarra,Generales,diciembre 2015,2,70.93,52.51,36,,,,,
Navarra,Autonómicas,Autonómicas 2019,3,72.18,60.24,36.51,,28.38,36.51,,31.86
Navarra,Generales,noviembre 2019,4,65.91,58.44,35.38,,,,,
Navarra,Autonómicas,Autonómicas 2023,5,64.45,47.57,39.57,,22.74,39.57,,24.83
Navarra,Generales,julio 2023,6,66.37,57.46,37.68,,,,,
País Vasco,Generales,diciembre 2015,1,69,57.24,40.46,,,,,
País Vasco,Autonómicas,Autonómicas 2016,2,60.02,47.75,49.04,,26.62,11.68,,58.49
País Vasco,Generales,noviembre 2019,3,66.43,54.03,44.42,,,,,
País Vasco,Autonómicas,Autonómicas 2020,4,52.86,48.73,47.0,,21.34,8.59,,65.8
País Vasco,Generales,julio 2023,5,65.09,60.27,38.19,,,,,
País Vasco,Autonómicas,Autonómicas 2024,6,60.02,51.76,46.03,,19.63,11.21,,66.95
Región de Murcia,Autonómicas,Autonómicas 2015,1,63.6,41.98,49.92,,41.98,49.92,,
Región de Murcia,Generales,diciembre 2015,2,71.14,38.65,58.07,,,,,
Región de Murcia,Autonómicas,Autonómicas 2019,3,62.3,38.04,53.81,,38.04,53.81,,
Región de Murcia,Generales,noviembre 2019,4,68.03,35.54,61.9,,,,,
Región de Murcia,Autonómicas,Autonómicas 2023,5,63.25,30.33,60.51,,30.33,60.51,,
Región de Murcia,Generales,julio 2023,6,68.68,34.87,63,,,,,
