ccaa,tipo_eleccion,fecha,orden,participacion,pct_izq_validos,pct_der_validos,comp_2015_izquierda,comp_2019_izquierda
Andalucía,Generales,noviembre 2019,3,"65,91","47,78",49,"47,78",0
Andalucía,Autonómicas,Autonómicas 2022,5,"56,56","36,38","59,88","36,38","-11,4"
Andalucía,Generales,julio 2023,6,"66,61","45,47","51,73","45,47","-2,31"
Andalucía,Autonómicas,Autonómicas 2026,7,"64,84","38,67","57,96","38,67","-9,11"
Aragón,Generales,noviembre 2019,3,"69,34","41,55","49,38","41,55",0
Aragón,Autonómicas,Autonómicas 2023,5,"66,54","41,8","48,85","41,8","0,25"
Aragón,Generales,julio 2023,6,"70,71","43,42","50,89","43,42","1,87"
Aragón,Autonómicas,Autonómicas 2026,7,"65,09","38,78","57,05","38,78","-2,77"
Asturias,Generales,noviembre 2019,3,"58,12","51,5","45,75","51,5",0
Asturias,Autonómicas,Autonómicas 2023,5,"56,85","46,84","45,28","46,84","-4,66"
Asturias,Generales,julio 2023,6,"62,9","49,19","48,14","49,19","-2,31"
Baleares,Generales,noviembre 2019,3,"56,81","43,55","47,27","43,55",0
Baleares,Autonómicas,Autonómicas 2023,5,"55,11","40,8","50,08","40,8","-2,75"
Baleares,Generales,julio 2023,6,"61,32","46,75","50,84","46,75","3,2"
Canarias,Generales,noviembre 2019,3,"55,44","45,15","38,61","45,15",0
Canarias,Autonómicas,Autonómicas 2023,5,52,"40,85","26,3","40,85","-4,3"
Canarias,Generales,julio 2023,6,"58,18","43,89",38,"43,89","-1,26"
Cantabria,Generales,noviembre 2019,3,"65,74","31,92","45,56","31,92",0
Cantabria,Autonómicas,Autonómicas 2023,5,"65,32","20,61","46,89","20,61","-11,31"
Cantabria,Generales,julio 2023,6,"69,94","41,78","56,14","41,78","9,86"
Castilla y León,Generales,noviembre 2019,3,"66,61","40,61","55,8","40,61",0
Castilla y León,Autonómicas,Autonómicas 2022,5,"58,75","39,07","53,05","39,07","-1,54"
Castilla y León,Generales,julio 2023,6,"69,41","39,38","55,32","39,38","-1,23"
Castilla y León,Autonómicas,Autonómicas 2026,7,"60,63","35,12","54,28","35,12","-5,49"
Castilla-La Mancha,Generales,noviembre 2019,3,"70,06","42,32","55,61","42,32",0
Castilla-La Mancha,Autonómicas,Autonómicas 2023,5,"69,6","49,16","47,5","49,16","6,84"
Castilla-La Mancha,Generales,julio 2023,6,"72,99","41,52","56,68","41,52","-0,8"
Cataluña,Generales,noviembre 2019,3,"69,4","63,61","33,01","63,61",0
Cataluña,Autonómicas,Autonómicas 2021,5,"51,29","57,88","37,17","57,88","-5,73"
Cataluña,Generales,julio 2023,6,"62,68","61,67","32,29","61,67","-1,94"
Cataluña,Autonómicas,Autonómicas 2024,7,"55,31","52,15","44,8","52,15","-11,46"
Ceuta,Generales,noviembre 2019,3,"53,98","35,2","60,87","35,2",0
Ceuta,Generales,julio 2023,6,"53,19","36,47","62,03","36,47","1,27"
Comunidad Valenciana,Generales,noviembre 2019,3,"69,8","47,94","49,23","47,94",0
Comunidad Valenciana,Autonómicas,Autonómicas 2023,5,"66,96","46,68","49,83","46,68","-1,26"
Comunidad Valenciana,Generales,julio 2023,6,"71,5","47,36","50,52","47,36","-0,58"
Extremadura,Generales,noviembre 2019,3,"67,22","47,44","50,41","47,44",0
Extremadura,Autonómicas,Autonómicas 2023,5,"70,35","45,8","46,84","45,8","-1,64"
Extremadura,Generales,julio 2023,6,"71,67","45,96","51,53","45,96","-1,48"
Extremadura,Autonómicas,Autonómicas 2026,7,"60,8","35,97","60,02","35,97","-11,47"
Galicia,Generales,noviembre 2019,3,"55,86","53,53","44,1","53,53",0
Galicia,Autonómicas,Autonómicas 2020,5,"48,97","47,33","51,08","47,33","-6,2"
Galicia,Generales,julio 2023,6,"61,41","50,1","48,45","50,1","-3,43"
Galicia,Autonómicas,Autonómicas 2024,7,"56,27","47,57","49,6","47,57","-5,96"
La Rioja,Generales,noviembre 2019,3,"66,96","44,72","52,77","44,72",0
La Rioja,Autonómicas,Autonómicas 2023,5,"67,79","36,99","52,99","36,99","-7,73"
La Rioja,Generales,julio 2023,6,"70,19","42,25","55,4","42,25","-2,47"
Madrid,Generales,noviembre 2019,3,"70,59","45,53","52,31","45,53",0
Madrid,Autonómicas,Autonómicas 2021,4,"74,74","41,01","57,48","41,01","-4,52"
Madrid,Autonómicas,Autonómicas 2023,5,"65,5","41,27","55,56","41,27","-4,26"
Madrid,Generales,julio 2023,6,"69,66","43,3","54,57","43,3","-2,23"
Melilla,Generales,noviembre 2019,3,"52,39","19,06","50,9","19,06",0
Melilla,Generales,julio 2023,6,"45,24","28,41","65,1","28,41","9,35"
Navarra,Generales,noviembre 2019,3,"65,91","58,44","35,38","58,44",0
Navarra,Autonómicas,Autonómicas 2023,5,"64,45","47,57","39,57","47,57","-10,87"
Navarra,Generales,julio 2023,6,"66,37","57,46","37,68","57,46","-0,98"
País Vasco,Generales,noviembre 2019,3,"66,43","54,03","44,42","54,03",0
País Vasco,Autonómicas,Autonómicas 2020,5,"52,86","48,73",47,"48,73","-5,3"
País Vasco,Generales,julio 2023,6,"65,09","60,27","38,19","60,27","6,24"
País Vasco,Autonómicas,Autonómicas 2024,7,"60,02","51,76","46,03","51,76","-2,27"
Región de Murcia,Generales,noviembre 2019,3,"68,03","35,54","61,9","35,54",0
Región de Murcia,Autonómicas,Autonómicas 2023,5,"63,25","30,33","60,51","30,33","-5,21"
Región de Murcia,Generales,julio 2023,6,"68,68","34,87",63,"34,87","-0,67"
