ccaa,tipo_eleccion,fecha,orden,participacion,pct_psoe_validos
Andalucía,Municipales,mayo 2019,1,61.41,36.92
Andalucía,Generales,noviembre 2019,3,65.91,33.36
Andalucía,Autonómicas,Autonómicas 2022,4,56.56,24.1
Andalucía,Municipales,mayo 2023,5,61.39,33.38
Andalucía,Generales,julio 2023,7,66.61,33.48
Andalucía,Autonómicas,Autonómicas 2026,8,64.84,22.72
Aragón,Municipales,mayo 2019,1,68.27,32.88
Aragón,Autonómicas,mayo 2019,2,66.16,31.18
Aragón,Generales,noviembre 2019,3,69.34,30.72
Aragón,Municipales,mayo 2023,5,68.78,29.84
Aragón,Autonómicas,mayo 2023,6,66.54,29.55
Aragón,Generales,julio 2023,7,70.71,31.12
Aragón,Autonómicas,Autonómicas 2026,8,65.09,24.84
Asturias,Municipales,mayo 2019,1,62.44,35.31
Asturias,Autonómicas,mayo 2019,2,55.12,34.93
Asturias,Generales,noviembre 2019,3,58.12,33.27
Asturias,Municipales,mayo 2023,5,64.41,32.07
Asturias,Autonómicas,mayo 2023,6,56.85,35.61
Asturias,Generales,julio 2023,7,62.9,34.34
Baleares,Municipales,mayo 2019,1,54.98,24.23
Baleares,Autonómicas,mayo 2019,2,53.92,27.18
Baleares,Generales,noviembre 2019,3,56.81,25.44
Baleares,Municipales,mayo 2023,5,56.73,23.51
Baleares,Autonómicas,mayo 2023,6,55.11,26.53
Baleares,Generales,julio 2023,7,61.32,30.16
Canarias,Municipales,mayo 2019,1,56.82,26.86
Canarias,Autonómicas,mayo 2019,2,57.43,28.85
Canarias,Generales,noviembre 2019,3,55.44,28.88
Canarias,Municipales,mayo 2023,5,56.48,26.93
Canarias,Autonómicas,mayo 2023,6,52.0,26.21
Canarias,Generales,julio 2023,7,58.18,33.34
Cantabria,Municipales,mayo 2019,1,70.77,24.23
Cantabria,Autonómicas,mayo 2019,2,65.71,17.61
Cantabria,Generales,noviembre 2019,3,65.74,23.24
Cantabria,Municipales,mayo 2023,5,70.44,22.56
Cantabria,Autonómicas,mayo 2023,6,65.32,20.61
Cantabria,Generales,julio 2023,7,69.94,33.3
Castilla y León,Municipales,mayo 2019,1,71.09,33.12
Castilla y León,Autonómicas,mayo 2019,2,65.8,35.21
Castilla y León,Generales,noviembre 2019,3,66.61,31.27
Castilla y León,Autonómicas,Autonómicas 2022,4,58.75,29.77
Castilla y León,Municipales,mayo 2023,5,68.07,31.14
