ccaa,tipo_eleccion,fecha,orden,participacion,pct_psoe_validos
Andalucía,Generales,Generales diciembre 2015,1,69.08,31.5
Andalucía,Autonómicas,Autonómicas 2018,2,56.56,27.94
Andalucía,Generales,Generales noviembre 2019,3,65.91,33.36
Andalucía,Autonómicas,Autonómicas 2022,5,56.56,24.1
Andalucía,Generales,Generales julio 2023,6,66.61,33.48
Andalucía,Autonómicas,Autonómicas 2026,7,64.84,22.72
Aragón,Generales,Generales diciembre 2015,1,72.58,23.05
Aragón,Autonómicas,Autonómicas 2019,2,66.16,31.18
Aragón,Generales,Generales noviembre 2019,3,69.34,30.72
Aragón,Autonómicas,Autonómicas 2023,5,66.54,29.55
Aragón,Generales,Generales julio 2023,6,70.71,31.12
Aragón,Autonómicas,Autonómicas 2026,7,65.09,24.84
Asturias,Generales,Generales diciembre 2015,1,63.77,23.29
Asturias,Autonómicas,Autonómicas 2019,2,55.12,34.93
Asturias,Generales,Generales noviembre 2019,3,58.12,33.27
Asturias,Autonómicas,Autonómicas 2023,5,56.85,35.61
Asturias,Generales,Generales julio 2023,6,62.9,34.34
Baleares,Generales,Generales diciembre 2015,1,63.35,18.31
Baleares,Autonómicas,Autonómicas 2019,2,53.92,34.48
Baleares,Generales,Generales noviembre 2019,3,56.81,25.44
Baleares,Autonómicas,Autonómicas 2023,5,55.11,26.53
Baleares,Generales,Generales julio 2023,6,61.32,30.16
Canarias,Generales,Generales diciembre 2015,1,60.33,21.97
Canarias,Autonómicas,Autonómicas 2019,2,57.43,28.85
Canarias,Generales,Generales noviembre 2019,3,55.44,28.88
Canarias,Autonómicas,Autonómicas 2023,5,52,26.21
Canarias,Generales,Generales julio 2023,6,58.18,33.34
Cantabria,Generales,Generales diciembre 2015,1,70.97,22.41
Cantabria,Autonómicas,Autonómicas 2019,2,65.71,17.61
Cantabria,Generales,Generales noviembre 2019,3,65.74,23.24
Cantabria,Autonómicas,Autonómicas 2023,5,65.32,20.61
Cantabria,Generales,Generales julio 2023,6,69.94,33.3
Castilla y León,Generales,Generales diciembre 2015,1,71.22,22.47
Castilla y León,Autonómicas,Autonómicas 2019,2,65.8,35.21
Castilla y León,Generales,Generales noviembre 2019,3,66.61,31.27
Castilla y León,Autonómicas,Autonómicas 2022,5,58.75,29.77
Castilla y León,Generales,Generales julio 2023,6,69.41,32.34
Castilla y León,Autonómicas,Autonómicas 2026,7,60.63,30.81
Castilla-La Mancha,Generales,Generales diciembre 2015,1,75.26,28.36
Castilla-La Mancha,Autonómicas,Autonómicas 2019,2,67.98,44.1
Castilla-La Mancha,Generales,Generales noviembre 2019,3,70.06,33.1
Castilla-La Mancha,Autonómicas,Autonómicas 2023,5,69.6,45.04
Castilla-La Mancha,Generales,Generales julio 2023,6,72.99,34.16
Cataluña,Generales,Generales diciembre 2015,1,68.63,15.69
Cataluña,Autonómicas,Autonómicas 2017,2,79.09,13.86
Cataluña,Generales,Generales noviembre 2019,3,69.4,20.5
Cataluña,Autonómicas,Autonómicas 2021,5,51.29,23.03
Cataluña,Generales,Generales julio 2023,6,62.68,34.47
Cataluña,Autonómicas,Autonómicas 2024,7,55.31,28.28
Ceuta,Generales,Generales diciembre 2015,1,54.36,23.1
Ceuta,Generales,Generales noviembre 2019,3,53.98,31.31
