ccaa,tipo_eleccion,fecha,orden,participacion,pct_psoe_validos,comp_2015,comp_2019
Andalucía,Generales,Generales noviembre 2019,3,"65,91","33,36","33,36",0
Andalucía,Autonómicas,Autonómicas 2022,5,"56,56","24,1","24,1","-9,26"
Andalucía,Generales,Generales julio 2023,6,"66,61","33,48","33,48","0,12"
Andalucía,Autonómicas,Autonómicas 2026,7,"64,84","22,72","22,72","-10,64"
Aragón,Generales,Generales noviembre 2019,3,"69,34","30,72","30,72",0
Aragón,Autonómicas,Autonómicas 2023,5,"66,54","29,55","29,55","-1,17"
Aragón,Generales,Generales julio 2023,6,"70,71","31,12","31,12","0,4"
Aragón,Autonómicas,Autonómicas 2026,7,"65,09","24,84","24,84","-5,88"
Asturias,Generales,Generales noviembre 2019,3,"58,12","33,27","33,27",0
Asturias,Autonómicas,Autonómicas 2023,5,"56,85","35,61","35,61","2,34"
Asturias,Generales,Generales julio 2023,6,"62,9","34,34","34,34","1,07"
Baleares,Generales,Generales noviembre 2019,3,"56,81","25,44","25,44",0
Baleares,Autonómicas,Autonómicas 2023,5,"55,11","26,53","26,53","1,09"
Baleares,Generales,Generales julio 2023,6,"61,32","30,16","30,16","4,72"
Canarias,Generales,Generales noviembre 2019,3,"55,44","28,88","28,88",0
Canarias,Autonómicas,Autonómicas 2023,5,52,"26,21","26,21","-2,67"
Canarias,Generales,Generales julio 2023,6,"58,18","33,34","33,34","4,46"
Cantabria,Generales,Generales noviembre 2019,3,"65,74","23,24","23,24",0
Cantabria,Autonómicas,Autonómicas 2023,5,"65,32","20,61","20,61","-2,63"
Cantabria,Generales,Generales julio 2023,6,"69,94","33,3","33,3","10,06"
Castilla y León,Generales,Generales noviembre 2019,3,"66,61","31,27","31,27",0
Castilla y León,Autonómicas,Autonómicas 2022,5,"58,75","29,77","29,77","-1,5"
Castilla y León,Generales,Generales julio 2023,6,"69,41","32,34","32,34","1,07"
Castilla y León,Autonómicas,Autonómicas 2026,7,"60,63","30,81","30,81","-0,46"
Castilla-La Mancha,Generales,Generales noviembre 2019,3,"70,06","33,1","33,1",0
Castilla-La Mancha,Autonómicas,Autonómicas 2023,5,"69,6","45,04","45,04","11,94"
Castilla-La Mancha,Generales,Generales julio 2023,6,"72,99","34,16","34,16","1,06"
Cataluña,Generales,Generales noviembre 2019,3,"69,4","20,5","20,5",0
Cataluña,Autonómicas,Autonómicas 2021,5,"51,29","23,03","23,03","2,53"
Cataluña,Generales,Generales julio 2023,6,"62,68","34,47","34,47","13,97"
Cataluña,Autonómicas,Autonómicas 2024,7,"55,31","28,28","28,28","7,78"
Ceuta,Generales,Generales noviembre 2019,3,"53,98","31,31","31,31",0
Ceuta,Generales,Generales julio 2023,6,"53,19","34,01","34,01","2,7"
Comunidad Valenciana,Generales,Generales noviembre 2019,3,"69,8","27,6","27,6",0
Comunidad Valenciana,Autonómicas,Autonómicas 2023,5,"66,96","28,7","28,7","1,1"
Comunidad Valenciana,Generales,Generales julio 2023,6,"71,5","32,13","32,13","4,53"
España,Generales,Generales noviembre 2019,3,"66,23","28,25","28,25",0
España,Generales,Generales julio 2023,6,"66,59","31,94","31,94","3,69"
Extremadura,Generales,Generales noviembre 2019,3,"67,22","38,33","38,33",0
Extremadura,Autonómicas,Autonómicas 2023,5,"70,35","39,86","39,86","1,53"
Extremadura,Generales,Generales julio 2023,6,"71,67","39,08","39,08","0,75"
Extremadura,Autonómicas,Autonómicas 2026,7,"60,8","25,77","25,77","-12,56"
Galicia,Generales,Generales noviembre 2019,3,"55,86","31,25","31,25",0
Galicia,Autonómicas,Autonómicas 2020,5,"48,97","19,48","19,48","-11,77"
Galicia,Generales,Generales julio 2023,6,"61,41","29,76","29,76","-1,49"
Galicia,Autonómicas,Autonómicas 2024,7,"56,27","10,07","10,07","-21,18"
La Rioja,Generales,Generales noviembre 2019,3,"66,96","34,85","34,85",0
La Rioja,Autonómicas,Autonómicas 2023,5,"67,79","31,9","31,9","-2,95"
La Rioja,Generales,Generales julio 2023,6,"70,19","35,68","35,68","0,83"
Madrid,Generales,Generales noviembre 2019,3,"70,59","26,87","26,87",0
Madrid,Autonómicas,Autonómicas 2021,4,"74,74","16,8","16,8","-10,07"
Madrid,Autonómicas,Autonómicas 2023,5,"65,5","18,18","18,18","-8,69"
Madrid,Generales,Generales julio 2023,6,"69,66","27,84","27,84","0,97"
Melilla,Generales,Generales noviembre 2019,3,"52,39","16,45","16,45",0
Melilla,Generales,Generales julio 2023,6,"45,24","25,39","25,39","8,94"
Navarra,Generales,Generales noviembre 2019,3,"65,91",25,25,0
Navarra,Autonómicas,Autonómicas 2023,5,"64,45","16,65","16,65","-8,35"
Navarra,Generales,Generales julio 2023,6,"66,37","27,37","27,37","2,37"
País Vasco,Generales,Generales noviembre 2019,3,"66,43","19,21","19,21",0
País Vasco,Autonómicas,Autonómicas 2020,5,"52,86","13,42","13,42","-5,79"
País Vasco,Generales,Generales julio 2023,6,"65,09","25,27","25,27","6,06"
País Vasco,Autonómicas,Autonómicas 2024,7,"60,02","14,09","14,09","-5,12"
Región de Murcia,Generales,Generales noviembre 2019,3,"68,03","24,78","24,78",0
Región de Murcia,Autonómicas,Autonómicas 2023,5,"63,25","25,63","25,63","0,85"
Región de Murcia,Generales,Generales julio 2023,6,"68,68","25,3","25,3","0,52"
