nom_normal,nom_munici,ine_mun,X,Y,x,y
Calle de las Tradiciones,Chiclana de la Frontera,11015,,,-6.12620099999992,36.4059720000001
Calle Rafael de la Hoz Arderius,Córdoba,14021,,,-4.78770300022604,37.8903719996557
Calle Pintor,Coria del Río,41034,,,-6.0579930002765,37.2961830004454
Calle Encina,Cañaveral de León,21020,,,-6.5245202995345,38.013378888212
Calle Huelva,Coripe,41035,,,-5.43888499999991,36.978503
Calle José Manuel Carrión Carrión,Dos Hermanas,41038,,,-5.93795658307159,37.3076464771436
Calle Raúl Gil Sánchez,Dos Hermanas,41038,,,-5.9222309999925,37.307448136849
Calle Concordia,Coripe,41035,,,-5.43935928399992,36.9747221590001
Calle las Onzas,Coripe,41035,,,-5.44113460399996,36.971630502
Calle Pico Tenerife,Cuevas del Almanzora,04035,,,-1.76981876899987,37.251210399
Calle Carmen Calvo Poyato,Dos Hermanas,41038,,,-5.92512209171732,37.315374749181
Calle Rienda,Morón de la Frontera,41065,,,-5.45447700031314,37.1327399995515
Calle Peineta,Morón de la Frontera,41065,,,-5.46150794162667,37.1203433345365
Calle Policía Local M. Ángeles García,Córdoba,14021,,,-4.80104100012344,37.8950160001584
Calle el Algarbe,Hinojos,21040,,,-6.38240899967538,37.2890529998962
Avenida Villarrasa,Rociana del Condado,21061,,,-6.60030599999993,37.3129420000001
Camino de Duernas,Córdoba,14021,,,-4.6040077757687,37.707082847167
Calle José Miguel Naranjo Jiménez,Dos Hermanas,41038,,,-5.9411410949140375,37.305450571894674
Calle Clara Eugenia Aguilera García,Dos Hermanas,41038,,,-5.92178150115982,37.3223543464186
Calle Don Juan de Austria,Roquetas de Mar,04079,,,-2.5856422981172718,36.804955202112446
Calle Berruguete,Roquetas de Mar,04079,,,-2.6157988825326757,36.761255657024535
Calle Braulio Fernández Tejerina,Dos Hermanas,41038,,,-5.93336611633759,37.3175984392045
Plaza Labradores,Roquetas de Mar,04079,,,-2.617500279550807,36.762834834563286
Urbanización la Langosta,Roquetas de Mar,04079,,,-2.58336140940719,36.8105292038674
Paseo Manolo Escobar,Roquetas de Mar,04079,,,-2.6313139219177244,36.71960766849753
Paseo Marítimo Zoraida,Roquetas de Mar,04079,,,-2.6094928501241212,36.7484517601189
Calle Zuheros,Roquetas de Mar,04079,,,-2.623833373670285,36.73556117530549
Calle Tío Raimundo,Roquetas de Mar,04079,,,-2.619617000150887,36.74144200038566
Plaza de Atocha,Roquetas de Mar,04079,,,-2.619486937041793,36.74062227033601
Calle Gracita Morales,Roquetas de Mar,04079,,,-2.6154618098210416,36.7596453629537
Calle Aranda de Duero,Roquetas de Mar,04079,,,-2.5993438488929708,36.80272303065028
Calle Mauritania,Roquetas de Mar,04079,,,-2.578176999555641,36.80327599990291
Calle El Cortijo,Roquetas de Mar,04079,,,-2.5807053451646635,36.812470166250435
Calle Etiopía,Roquetas de Mar,04079,,,-2.579656267938021,36.80525052189178
Paseo el Limónar,Roquetas de Mar,04079,,,-2.578949594751966,36.810288569732045
Calle Santa Marta,Roquetas de Mar,04079,,,-2.60147233378231,36.7781987274803
Avenida Pablo Picasso,Roquetas de Mar,04079,,,-2.6221425638812885,36.76274636276491
Calle Belgrado,Roquetas de Mar,04079,,,-2.6194217203895276,36.759489038715685
Calle del Islam,Córdoba,14021,,,-4.7930540003193975,37.88869599959443
Calle C (Urb Pagos de Buenavista),Dos Hermanas,41038,,,-5.95350163447983,37.3077636659974
Calle Zamora,Roquetas de Mar,04079,,,-2.616375037616211,36.76454296954458
Plaza Pérez Reverte,Roquetas de Mar,04079,,,-2.6278958043030793,36.75586583052374
