nom_normal,nom_munici,x,y
Calle Hydra,Marbella,-4.96986600006706,36.5144779987631
Urbanización Pueblo Azahara,Nerja,-3.869402433996779,36.753828842841656
Calle Benamocarra,Nerja,-3.889653215744911,36.75647906586323
Particular Privado,Nerja,-3.911684997971336,36.7590280028026
Pago La Civila,Nerja,-3.825348380622602,36.78961111975784
Calle Parra,Alozaina,-4.856099999627843,36.7267490001104
Calle Castillo,Nerja,-3.868205821777432,36.76051604745367
Camino JUZ-034,Júzcar,-5.1701227852087,36.6193683820753
Calle Arrieros,Júzcar,-5.17115599969964,36.6250610000199
Calle Úbeda,Nerja,-3.86797432173299,36.755071814667794
Calle los Molinos,Júzcar,-5.17122100000972,36.6257730004445
Calle Chiriva,Torremolinos,-4.50149799978325,36.614281000421
Avenida Havaral,Júzcar,-5.16952259015255,36.624832684216
Calle General Ros,Benadalid,-5.26888100071113,36.6075469997814
Calle la Lomilla,El Borge,-4.23584415135492,36.8133740418441
Polígono Industrial La Moraga,Alhaurín de la Torre,-4.57909799992779,36.6726389997134
Camino JUZ-033 de Júzcar a Cartajima,Júzcar,-5.16494976491253,36.6338470473845
Urbanización Regante del Pilar,Antequera,-4.64162609188006,37.0352522108897
Avenida Salvador Dalí,Torremolinos,-4.4892435386476,36.6410766358987
Ramal del Carmelo,Torremolinos,-4.50849455945957,36.615120679351
Plaza San Joaquín y Santa Ana,Torremolinos,-4.49939487268571,36.62919030636
Calle Francisco Enrique Díaz Jiménez,Málaga,-4.351420080643136,36.723054479232694
Glorieta Escultor Antonio Leiva Jiménez,Málaga,-4.445511890198185,36.69836603317334
Avenida de Andrés Llorden,Málaga,-4.478006024215519,36.71408958418048
Pago Barranco Guerra,Torrox,-3.9490048301162415,36.78926389201192
Camino C004-0 de Alozaina,Coín,-4.81298007925297,36.7015878769482
Conjunto Residencial Ribera de Guadalmina,Benahavís,-5.0427118303260015,36.522356042581706
Urbanización El Madroñal-Entrada 3,Benahavís,-5.006975777663526,36.530688863239256
Calle José de Madrazo,Benahavís,-5.01917139350024,36.5333609889323
Urbanización Las Encinas,Benahavís,-4.995610700247468,36.51145714824301
Urbanización Ucanca,Benahavís,-4.995543470781262,36.51123995406845
Urbanización La Aldea,Benahavís,-5.047004149381851,36.52423777679913
